Protein Name,D8_KO1,D8_KO2,D8_KO3,D8_KO4,D8_WT_1,D8_WT_3,D8_WT_4,D8_WT_5
PA2G4_MOUSE,-0.910191542,-1.093467843,-1.201760826,-1.069381327,-1.376254498,-1.542176875,-1.312975848,-1.314842791
MYH10_MOUSE,0.088866543,-0.115288264,-0.167138236,-0.094881136,-0.426382049,-0.396960342,-0.300239968,-0.435971994
SYK_MOUSE,-0.383904627,-0.318010249,-0.416078904,-0.476485989,-0.700143108,-0.797399945,-0.591717297,-0.769470609
CES1D_MOUSE,-0.604472377,-0.553227997,-0.651270987,-0.694020191,-0.826356719,-1.046157909,-1.065556439,-0.827435179
AN32A_MOUSE,0.281994406,0.214726542,-0.086635873,0.08449907,-0.055943855,-0.215872044,-0.157707331,-0.337884602
VASP_MOUSE,-0.60305238,-0.821696415,-0.904339973,-0.844311682,-0.80660152,-1.302929461,-1.234380602,-1.087218765
ACTN1_MOUSE,-0.574332123,-0.771297213,-0.713754511,-0.740391282,-0.999354707,-1.038675923,-1.005954154,-1.008931821
IDHC_MOUSE,-0.256439455,-0.374576754,-0.472201247,-0.353732345,-0.543425777,-0.85421919,-0.670464968,-0.626810778
HCD2_MOUSE,-0.902982454,-1.273738083,-1.328592127,-1.129321785,-1.455311054,-1.60277436,-1.412098631,-1.401603351
APOA4_MOUSE,0.399647282,0.273765969,0.074164534,0.137706592,0.02172616,-0.176723727,-0.15812292,-0.038013774
KNG1_MOUSE,0.259280486,0.082169849,0.085613242,0.120614348,-0.135447182,-0.30698709,-0.097143488,-0.146384048
LRCC1_MOUSE,-0.231611559,-0.315309638,-0.427363449,-0.30047694,-0.592941371,-0.738504788,-0.573531167,-0.603391816
PPT1_MOUSE,-0.496393587,-0.657777169,-0.71782325,-0.596361804,,,,-0.925053929
ROA0_MOUSE,0.263100192,0.027647083,-0.128340083,-0.037235071,-0.192308973,-0.247371702,-0.387671327,
KPYM_MOUSE,0.979713004,0.798641651,0.676734901,0.752052967,0.54712349,0.410748498,0.523050095,0.49851004
SRSF4_MOUSE,0.361080717,0.29763482,0.239607771,0.195294578,-0.162957395,-0.018783881,-0.070068837,0.118290767
GRP75_MOUSE,0.392214689,0.344320122,0.113322413,0.141499874,0.00612514,-0.155266088,-0.033299533,-0.053026152
WDR1_MOUSE,-0.000862282,-0.152355277,-0.321861543,-0.219182334,-0.315028468,-0.544276066,-0.525951607,-0.520418234
ARP3_MOUSE,-0.754121897,-0.924299518,-1.10991998,-0.914891185,-1.188666444,-1.341010888,-1.146464531,-1.237253844
DDX3X_MOUSE,-0.71777407,-0.831402062,-0.836315175,-0.840957588,-0.906968512,-1.135947848,-1.03170546,-1.360344303
RL12_MOUSE,-0.711568361,-0.817288453,-0.90169734,-0.847895285,-1.24450304,-1.167549829,-1.050534049,-1.024172977
IBP7_MOUSE,-0.522445907,-0.663188065,-0.671323245,-0.65844642,-1.148198941,-0.869535066,-0.836111259,-0.864805701
NDKA_MOUSE,0.591687811,0.295872345,0.141481166,0.304592452,0.143467218,-0.028074474,0.031576143,-0.015299608
