Mass_Tag_ID,P1A_,P1B_,P2A_,P2B_,P3A_,P3B_,P4A_,P4B_,P5A_,P5B_,P6A_,P6B_
6702477,0.145961612,-0.610758488,-0.201461096,0.466877653,-0.226706321,0.052281591,-0.592314363,-0.53795768,-1.212389037,0.305694495,,-1.145781483
6702483,-0.170933794,,,-0.291774933,,0.276488294,-1.053212254,,-0.377339209,0.579832344,-0.222677353,-0.45065986
6702490,-1.28898317,-1.654111569,-1.321950431,1.589784607,-0.93142999,-0.950778136,-0.430682536,-0.054845153,0.19940129,0.335990097,-1.185262595,-2.6009875
6702493,1.682497468,1.890222661,-0.588398316,1.901263327,1.100089397,-0.646876644,0.411356538,-0.401799515,-2.936392048,-0.844888571,1.363957184,0.833326711
6702499,,-0.72040459,-0.9348097,-0.088984323,,-0.067016337,-0.925271978,-0.603913918,-0.119085077,-1.280627941,-0.137143961,-0.418593607
6702516,-0.876354726,-0.320170224,-1.141360596,,-0.333899633,-1.335467668,,-0.338484602,,-0.866043951,-0.104817619,-0.047798896
6702519,-0.48126016,-0.25396927,-0.465127931,-0.774261976,-0.04432222,-0.239559522,-0.322665536,-0.90679472,-1.138115388,-0.313737108,-0.44241235,-0.649532973
6702529,0.84536805,0.144913207,-0.967861193,0.267947672,0.721400982,0.275675787,0.470052568,-0.536151619,0.876361659,-0.302477726,0.445436694,0.192938793
6702532,-0.30202486,-0.398942121,-1.192343633,-0.479166276,0.232981302,0.179703868,-0.494840772,-1.2938518,0.448703478,-1.257443194,0.230475675,0.535338665
6702580,0.775473518,0.007623523,0.382566585,-0.406812287,0.409663778,0.056720675,0.840869548,0.639658249,0.656175336,-0.427657799,0.13266342,0.438436765
6702598,0.030680467,0.377538025,-3.24E-05,-0.218962215,0.838075925,-0.665009856,-0.741866721,0.296067793,1.405541825,0.165754391,0.489426774,1.803264147
6702670,1.213969775,1.399774153,1.004593054,0.915769012,0.963933269,1.288393237,0.183855197,0.200344764,0.519248254,1.399045478,0.910529384,0.250054425
6702716,-0.382504315,0.450003494,-0.716214651,-0.411946152,0.025796619,-0.247512974,-0.748624934,-0.862458881,0.017821586,-0.863519739,-0.06947538,0.136787197
6702753,-0.356994225,-1.088166277,-0.282608047,-1.654494129,-0.956701974,-1.880190304,0.792820653,-0.25780487,-0.803547348,-0.853897894,-1.088094541,-0.51820331
6702977,-0.577052322,-0.03593029,-0.683932644,-0.6696472,-0.615178842,-0.598186963,-1.545071084,-0.591263238,-0.850179731,-0.600184679,-0.588581736,-0.774367803
6703267,-0.481056335,-0.248894928,-1.17270339,-0.625692318,-0.713957644,0.116853048,-1.15612332,-1.018113365,,-0.961733304,,
6703739,-1.617279269,-0.457117002,-1.92930813,-1.491335616,-1.680836149,-1.021324981,,,-1.587677123,-0.505428701,-1.043076214,-2.008220221
6704335,3.865661424,3.671272264,3.21310938,3.939184319,4.435339619,3.933581937,2.717126618,3.37274638,3.668172903,3.181838783,3.498108376,3.317100419
6704802,0.797316436,0.300279093,1.184435206,0.781399702,0.115344357,-0.057764249,1.565040785,0.784417894,-0.410116012,1.206006207,0.425995278,-0.098712038
6705337,3.348835387,3.580325494,1.402998336,3.348893646,2.938135849,1.137590751,1.975325224,1.430843786,-1.527335643,0.804936425,2.838748349,2.463072302
6705415,-0.273421121,-1.032967783,0.753442716,-0.152396833,-0.238954666,-0.860931758,1.62789992,0.538869319,0.306974062,-0.085408824,-0.081479052,-0.14691515
6705527,0.015115337,-0.449357135,-0.584694747,-0.212309772,-1.640117391,-0.737775102,-0.095127926,-0.787409118,-0.723586971,-0.41345038,-2.022533018,-1.031630887
6705793,,3.364859233,2.029232832,2.417253786,3.202223982,3.330476244,1.421312729,2.573399792,2.43621096,2.542485768,2.827260412,2.23495721
6706266,-0.462052982,-0.498864362,-0.488387214,-0.242773162,-0.439540545,-0.118000309,0.126200057,-0.308328014,-0.051649184,0.060628322,-0.117075681,-0.270237282
6706356,-1.192034089,-1.546614329,-1.181903137,1.914560205,-0.841976984,-0.760327804,-0.216006761,0.117153176,0.513566738,0.58373324,-1.04977675,
6706443,-1.11134277,-1.711374224,-1.150483565,2.092812307,-0.672971417,-0.6919871,-0.200853463,0.395431178,0.603202218,0.658766421,-1.149813504,
6706628,-0.212074578,-0.351579508,-0.5990454,-0.763733327,-0.227308956,-0.034270583,-1.352914249,,-0.67506266,-0.747333466,-0.540782936,-0.467120685
6706834,0.6010752,-0.686902494,2.094371816,0.500977144,0.819566818,-0.102352535,3.428752473,1.612578358,1.203440623,0.547821518,0.772855724,0.924446073
6706835,-0.16147952,-0.143772896,-0.903384957,-0.590441525,-0.153477588,0.13267899,-0.460204048,-0.891889396,0.021507169,-0.895323591,0.059647409,0.335696066
6706837,0.71954049,1.225505526,0.701597979,0.891365709,1.068546863,1.17419895,0.345693691,0.964147494,1.316940585,1.103770151,0.789129361,1.52538126
6706840,-0.202664139,-0.491384037,-0.073732847,-0.649065778,0.170675081,-0.825641771,-0.731204242,0.008417284,0.140406864,-0.458869148,-0.472376153,0.795365073
6706841,1.549840504,-0.456381311,-0.773197371,,-0.653559933,-1.244839413,0.695536441,1.908496798,0.430387379,-1.480182966,0.323133176,3.281584511
6706842,-0.671909645,-0.856451425,0.17913575,-0.27868622,-0.835683028,-0.003713964,0.116772783,-0.455642431,0.167711764,-0.547032531,-0.23011637,0.1529536
6706844,-0.757823153,-0.640066183,-0.395807676,-0.79638397,-0.479893953,-0.287437575,-0.406854794,-0.358229167,-0.730548757,-0.682514505,-0.626756405,-0.906235961
6706846,-0.489452083,-0.800794341,-0.341916336,-0.905097557,-0.149681564,-1.179649206,-0.947524189,-0.424573313,-0.113327403,-0.885802473,-0.781336075,0.513247395
6706850,-0.659261704,-0.085585274,-0.799747115,-0.802577473,-0.659268644,-0.201740844,,,-0.910415877,0.149850434,-0.73547934,-0.944771888
6706866,-0.62212822,-1.24459964,-0.723360438,2.284412953,-0.147325312,-0.06281586,0.116248849,0.73488768,1.062547482,1.067425806,,-2.182451367
6706879,,-1.623832812,,,-1.879345797,-1.985489947,-1.843168138,-1.727016857,-1.031724591,-1.669560298,-1.197216302,-2.021844141
6706932,-0.170079741,-0.508556418,-0.183776008,0.124454317,-0.046107343,0.162770726,-0.64428657,-0.773750187,-0.486340844,-0.493950407,-0.80232566,-0.06592337
6706937,0.435351736,0.203085456,-0.365533643,0.254159505,0.787142366,0.65538604,0.043344896,-0.582843641,0.808718539,-0.403444592,0.787998476,0.792947331
6706968,0.290473193,0.255603155,0.458658843,0.172959203,0.785504629,-0.161946749,-0.319278239,0.730255243,0.857358648,0.165768184,0.44643326,1.065285769
6707056,-0.133883411,-0.274706926,0.107598279,-0.396580193,0.257778071,-0.672454342,-0.54733651,0.19442427,0.33954757,-0.331236281,-0.394196874,1.040118106
6707065,-0.223135324,-0.478346885,-1.197327975,-0.761932945,-0.854169107,-1.122609585,-2.025619093,0.043324769,-0.31809154,-0.800006851,-0.420934041,0.400505735
6707174,-1.493970755,-1.007395383,-1.430326234,-1.586597547,-1.039113076,-1.22927055,-1.491281726,-1.798246955,-1.906716521,-1.208766762,-1.242797147,-1.594638858
6707534,-0.069015403,-0.186371044,-0.34642355,-0.988612725,-0.34137669,-0.658814978,-0.099744008,-0.129226314,0.101882826,-0.712313584,-0.29612464,-0.205287044
6707539,1.815463112,1.945643006,1.584685083,1.607230118,1.854443423,2.118619388,0.641746622,0.947100191,1.019556057,1.897671108,1.077887291,1.127082787
6707619,-0.863679425,-0.361799374,-0.646239219,0.248099307,-0.405840952,0.414087692,-0.816773987,-0.628061311,1.318534754,-0.249231384,-0.497130467,-0.56492991
6707644,1.032475814,0.586079998,0.90491917,0.513302617,1.178735588,1.616987482,-0.313094543,0.102283371,0.822321598,2.121325213,0.816794223,0.544250889
