Mass_Tag_ID,A1_run1,A1_run2,A2_run1,A2_run2,A3_run1,A3_run2,B1_run1,B1_run2,B2_run1,B2_run2,B3_run1,B3_run2
6959237,3003971.5,2136459.5,1051635.5,5431466,147278,2033098,2684280.5,4838713.5,3225929.5,2954748.5,4153834,4159756.5
6959245,1204527,510654,950720.5,3490619,10763.5,492524.5,1220453.5,2209398.5,82321,150717.5,2318877.5,1789301.5
6959269,3155200,5112538.5,1359250,7343299.5,499358,3105424,4927653,7209917.5,2803420.5,3034295.5,3255833,3793626
6959297,8077096.5,11004561,1727863,7912402,121250.5,5693489,4155982.5,7244576,6225071,6896082.5,4274540.5,4604020.75
6959300,95229,,240760.5,99079,40680,144419,308722.5,245317.5,274922,33003,349354.5,328548.5
6959319,104862,238645,,,,33821,,,,,78340,122325
6959327,119792719.5,153969557,32739294,156368837,4586691,57249015.5,76039704.5,128223967,71102278.5,78712558.5,54842324.5,48601633
6959357,1056578.5,1106694,206039,1191897,94825.5,379545.5,79028,,335760,353318.5,990324,734663.5
6959372,1295648.5,1199929.5,607218.5,3207615.5,300000.5,471922.5,611012,1815744.5,1580244.5,1621144,2190076.5,1909039
6959426,5869148.25,11035243.5,4550430,8868442.25,1073220.5,3360789,5204167.25,14609488.5,4952195.75,5156519.5,6413271.5,9743236.5
6959443,3070037.5,10250561,2818631.5,6552929.5,144724.5,3026602.5,7762788.5,12031807,6333472,7964268.5,5548217.5,6531138
6959492,5423589.5,9585266.5,2771295.5,8668666,719045.5,5375551,6070768,9793706,6252348,6657012,8069090.5,8827888.5
6959544,2364306,4972317,1079330.5,4649800,1813351,2247086.5,3427062,5112147.5,2739486,2521905.5,3198062,3406824
6959931,1278980,2921987.5,237363.5,1229172.5,189626.5,427677.5,,,310294.5,313701.5,1954460.25,4184841
6959974,428250.5,853867.5,,,,,,,,,2562377.5,2484448.5
6960369,70123401,93256055,38962897.5,127667411.5,56928393,70219236.5,84957204.5,128167682,77726351,84434796,60986579.5,62104985.5
6960448,,,236090.5,,,,39427,,,,215995,976957
6960581,219994,199955,94014.5,241039,34892.5,63799.5,69829,174548.5,118868.5,30935,413476.5,439249
6960741,912409.5,1246288.5,172676.5,903799.5,,444041.5,676288,1178959.5,347389,,748022,934292
6960935,73193859.5,83666837,21161938,58720020,5032457,48515313,32536777.25,102663557.5,56345998.5,78524531,71098536.5,71709118.5
6962171,4628475,8112027.5,2036671.5,9764783.5,521095,4491169,6196654,9329826,4633548.5,2268124.5,4763122.5,7114663
6962188,1787003.75,8450332,1620895,4020888.5,316099.5,5714672,2490523.75,5225136.5,3101672.5,2300721.5,4160353,8364331.5
6962216,3828310,4374020,922602,5223450.5,163383.5,1761681.5,3242142.5,5816676.5,4777801,4732049.5,4629865.5,4063456
6962223,5704834,7134068.5,1729440.5,19376852,320171,5102268,5834479,11481688.5,7020303,7303306,8512276.5,7248267
6962243,896063.5,2370889,782438.5,2401284.5,804230,1297398.5,1425628.5,2307115,523780,1106411,677111.25,1769788.5
6962246,285353.5,332526.75,37088,2110624,138029,178794.75,,636665,559793.75,1254358.5,487419.5,148880.5
6962302,3625791,4256243,847750.5,8728545.5,1778821.5,1750641.5,4134976,6429859,6997162,6452420,5498512,3795157
6962317,643054.5,462530,182753,417802,165457,221428,445712.5,387098.5,404531,296600.5,156831,34424.5
6962319,,,95620.5,,,,,,17480,,41922,696167
6962339,1228352.5,1335161.5,320973,1016510,218828,368787,386288,635157.5,624014,658392,533070,397987
6962342,160454.5,94622.5,,32604,,,62512.5,121648.5,149151.5,,733554.5,674134
6962343,63000.5,,,43458,,,,,,,268433.5,272242.5
6962345,9098755,9166646,4105023,12220343.5,854262.5,4543153.5,8921054,13840594,10304610.5,10508760.5,10078208,10315856
6962346,1975967.5,2068072,671377,2205131.5,724643.5,978214.5,242933,125720,692966,729113.5,1747042.5,1646702.5
6962374,6220945,6293169,1721566,6151422.5,1284648,2092421,2015398,3670848.5,5612158.5,6045648,6335373,5630175.5
6962378,1586499.5,1108025,1442043.5,2499961,958218,1303913.5,1045042.5,1366101,764680.5,863829,1308291,1492765
6962431,,,,,,,,,240109,,131720,69037.5
6963089,,,,,,27179951,33945212.5,,17586400.5,25035898,20139292,
6963210,1544353,2252466.5,745777.5,2680217.5,26991,1079974.5,1892884.5,3003032,1388595.5,1870658,1605878,2046996
6963762,440069,,178741.5,382805,8713300.5,11744824.5,632387.5,1359552.5,,261511,660997,833066.5
6963931,1130400,989469.5,561162,2539921,,501987,1448080,113912,962519,1238727.5,1266043,756002.5
6964216,434708,,370159.5,281016,309050.5,,609430,,,,455671.5,660670.5
6964253,566691,871836,446912,1232824,64323.5,611194,,,,,9285,280660.5
6964294,1261165.5,908564,252594.5,7298736,908695,495409.5,1316165,2546102,3585319,3050191,3294442.5,2500901
6964333,483040,,364007,1427760.5,,257501.5,,,228983,,,
6964338,,,72807,,,,77397.5,,38890,69944,146055,142749.5
6964343,1120011,861740.5,1271820,5492092.5,,981365,360902.5,194010,496548,1027715.5,734795.5,560942
6964348,5827809,6491725.5,1848266,7389005,3022373,3128422,3916294.5,6869735.5,4082812,4161776.5,4405661,4775442
6964351,278828,272380,153145,228969,245657.5,369488.5,82705,581276,250649.5,152469.5,53182.5,18382
