Mass_Tag_ID,Ref_ID,Reference
6959173,19401,IPI:IPI00008603.1
6959173,19339,IPI:IPI00003269.1
6959173,20909,IPI:IPI00515047.1
6959176,27390,IPI:IPI00031370.3
6959176,28058,IPI:IPI00549172.2
6959176,27457,IPI:IPI00152453.1
6959176,27295,IPI:IPI00013683.2
6959176,27293,IPI:IPI00013475.1
6959176,27265,IPI:IPI00007752.1
6959176,28062,IPI:IPI00549853.2
6959176,27287,IPI:IPI00011654.2
6959185,21776,IPI:IPI00328163.1
6959185,22521,IPI:IPI00552356.1
6959185,35349,IPI:IPI00216005.5
6959185,22099,IPI:IPI00414274.2
6959185,22050,IPI:IPI00410402.1
6959185,21951,IPI:IPI00387144.4
6959185,21584,IPI:IPI00218343.4
6959185,21505,IPI:IPI00180675.4
6959185,21501,IPI:IPI00179709.4
6959185,18358,IPI:IPI00374048.2
6959185,14787,IPI:IPI00007750.1
6959185,21585,IPI:IPI00218345.1
6959186,7911,IPI:IPI00549466.1
6959186,11235,IPI:IPI00472718.1
6959186,10600,IPI:IPI00402104.3
6959186,6716,IPI:IPI00419585.6
6959186,10601,IPI:IPI00402137.3
6959212,2570,IPI:IPI00003865.1
6959212,12368,IPI:IPI00037070.1
6959212,35428,IPI:IPI00397340.2
6959212,45679,IPI:IPI00457325.1
6959218,2869,IPI:IPI00012007.5
6959221,31516,IPI:IPI00219568.3
6959221,15431,IPI:IPI00169383.2
6959226,24045,IPI:IPI00021263.3
6959226,24273,IPI:IPI00180776.2
6959226,50085,IPI:IPI00021263.1
6959226,62582,IPI:IPI00180776.1
6959230,46605,IPI:IPI00451401.2
6959230,23362,IPI:IPI00383071.1
6959230,32692,IPI:IPI00465028.4
6959237,47823,IPI:IPI00066374.1
6959237,45616,IPI:IPI00335168.8
6959237,27079,IPI:IPI00473069.1
6959237,43898,IPI:IPI00413922.2
6959245,21585,IPI:IPI00218345.1
6959245,22521,IPI:IPI00552356.1
6959245,21951,IPI:IPI00387144.4
6959245,22050,IPI:IPI00410402.1
6959245,21776,IPI:IPI00328163.1
6959245,21505,IPI:IPI00180675.4
6959245,21501,IPI:IPI00179709.4
6959245,14787,IPI:IPI00007750.1
6959245,11399,IPI:IPI00478908.1
6959245,22099,IPI:IPI00414274.2
6959245,21584,IPI:IPI00218343.4
6959269,21585,IPI:IPI00218345.1
6959269,35349,IPI:IPI00216005.5
6959269,22521,IPI:IPI00552356.1
6959269,22099,IPI:IPI00414274.2
6959269,22050,IPI:IPI00410402.1
6959269,21776,IPI:IPI00328163.1
6959269,21584,IPI:IPI00218343.4
6959269,21505,IPI:IPI00180675.4
6959269,21501,IPI:IPI00179709.4
6959269,15373,IPI:IPI00166768.1
6959269,14787,IPI:IPI00007750.1
6959269,21951,IPI:IPI00387144.4
6959327,20909,IPI:IPI00515047.1
6959327,19401,IPI:IPI00008603.1
6959327,19529,IPI:IPI00021428.1
6959327,19545,IPI:IPI00023006.1
6959327,19572,IPI:IPI00025416.1
6959327,20502,IPI:IPI00414057.2
6959426,12368,IPI:IPI00037070.1
6959426,2570,IPI:IPI00003865.1
6959443,5831,IPI:IPI00382470.2
6959443,18329,IPI:IPI00334775.3
6959443,18730,IPI:IPI00414676.5
6959443,22265,IPI:IPI00455599.1
6959443,24111,IPI:IPI00031523.1
6959492,12368,IPI:IPI00037070.1
6959492,19214,IPI:IPI00514377.3
6959492,18240,IPI:IPI00304925.1
6959492,17213,IPI:IPI00011134.1
6959492,13211,IPI:IPI00301277.1
6959492,2720,IPI:IPI00007702.1
6959492,2570,IPI:IPI00003865.1
6959492,16074,IPI:IPI00339269.1
6959931,35428,IPI:IPI00397340.2
6959931,45679,IPI:IPI00457325.1
6959931,2570,IPI:IPI00003865.1
6959931,2720,IPI:IPI00007702.1
6959931,12368,IPI:IPI00037070.1
6959974,14962,IPI:IPI00019502.1
6959974,16268,IPI:IPI00395772.3
6960369,20909,IPI:IPI00515047.1
6960369,55056,IPI:IPI00385560.1
6960369,52879,IPI:IPI00258879.3
6960369,19401,IPI:IPI00008603.1
6960369,27024,IPI:IPI00455685.1
6960369,20891,IPI:IPI00514530.3
6960369,20502,IPI:IPI00414057.2
6960369,19572,IPI:IPI00025416.1
6960369,19545,IPI:IPI00023006.1
6960369,19531,IPI:IPI00021440.1
6960369,19530,IPI:IPI00021439.1
6960369,19529,IPI:IPI00021428.1
6960369,37533,IPI:IPI00455475.1
6960448,5881,IPI:IPI00383237.3
6960581,20837,IPI:IPI00479359.5
6960581,20917,IPI:IPI00549319.2
6960741,25988,IPI:IPI00472724.1
6960741,48712,IPI:IPI00431441.1
6960741,45052,IPI:IPI00455630.1
6960741,42700,IPI:IPI00431701.1
6960741,25143,IPI:IPI00025447.3
6960741,25086,IPI:IPI00014424.1
6960741,20867,IPI:IPI00513808.1
6960741,7076,IPI:IPI00455628.1
6960741,25360,IPI:IPI00180730.1
6960935,19545,IPI:IPI00023006.1
6960935,20939,IPI:IPI00550724.2
